-----------------------------------
ORIGINAL
  x-pos   y-pos   ft/min  min/mile
   1992    8741      467     11:18
   2026    8760      549      9:37
   2051    8789      540      9:46
   2061    8839      719      7:20
   2042    8871      525     10:03
   2061    8901      501     10:32
   2070    8949      689      7:39
   2151    8956     1147      4:36
   2197    8950      654      8:04
   2231    8969      549      9:37
   2251    9007      606      8:42
   2247    9044      525     10:03
   2238    9090      661      7:59
   2261    9116      490     10:46
   2238    9150      579      9:07
   2262    9178      520     10:09
   2254    9210      465     11:21
   2267    9259      715      7:23
   2263    9314      778      6:47
   2300    9322      534      9:53
   2295    9357      499     10:34
   2291    9409      736      7:10
   2270    9448      625      8:26
   2273    9493      636      8:18
   2263    9525      473     11:09
   2276    9558      500     10:33
   2300    9581      469     11:15
   2270    9600      501     10:32
   2275    9633      471     11:12
   2302    9664      580      9:06
   2310    9701      534      9:53
   2318    9749      686      7:41
   2309    9788      565      9:20
   2312    9828      566      9:19
   2336    9857      531      9:56
   2341    9902      639      8:15
   2342    9937      494     10:41
   2361    9968      513     10:17
   2356   10007      555      9:30
   2358   10042      494     10:41
   2334   10122     1179      4:28
   2358   10149      509     10:22
   2385   10169      474     11:08
   2403   10212      658      8:01
   2378   10250      642      8:13
   2377   10287      522     10:06
   2402   10320      584      9:02
   2397   10353      471     11:12
   2408   10394      599      8:48
   2426   10428      543      9:43
   2431   10462      485     10:53
   2440   10500      551      9:34
   2463   10527      500     10:33
   2472   10564      537      9:49
   2483   10597      491     10:45
   2499   10626      467     11:18
   2520   10655      505     10:27
   2527   10689      490     10:46
   2529   10732      607      8:41
   2527   10773      579      9:07
   2538   10805      477     11:04
   2539   10848      607      8:41
   2549   10887      568      9:17
   2553   10922      497     10:37
   2590   10951      663      7:57
   2624   10981      640      8:15
   2631   11021      573      9:12
   2649   11049      469     11:15
   2655   11087      543      9:43
   2659   11125      539      9:47
   2661   11160      494     10:41
   2670   11193      482     10:57
   2672   11226      466     11:19
   2691   11254      477     11:04
   2693   11288      480     11:00
   2688   11242      653      8:05
   2696   11209      479     11:01
   2684   11167      616      8:34
   2674   11133      500     10:33
   2659   11098      537      9:49
   2663   11062      511     10:19
   2645   11023      606      8:42
   2628   10986      574      9:11
   2614   10943      638      8:16
   2602   10908      522     10:06
   2583   10863      689      7:39
   2559   10839      479     11:01
   2533   10815      499     10:34
   2527   10780      501     10:32
   2525   10742      537      9:49
   2529   10708      483     10:55
   2496   10672      689      7:39
   2477   10645      466     11:19
   2476   10602      607      8:41
   2447   10571      599      8:48
   2448   10535      508     10:23
   2424   10489      732      7:12
   2419   10452      527     10:01
   2410   10409      620      8:30
   2396   10376      506     10:26
   2388   10335      589      8:57
   2387   10301      480     11:00
   2369   10273      469     11:15
   2362   10232      587      8:59
   2350   10201      469     11:15
   2343   10164      531      9:56
   2325   10125      606      8:42
   2308   10082      652      8:05
   2299   10046      523     10:05
   2285   10007      584      9:02
   2266    9971      574      9:11
   2246    9928      669      7:53
   2243    9886      594      8:53
   2222    9851      576      9:09
   2230    9815      520     10:09
   2217    9782      500     10:33
   2207    9748      500     10:33
   2230    9724      469     11:15
   2242    9685      576      9:09
   2242    9651      480     11:00
   2246    9611      567      9:18
   2256    9573      554      9:31
   2263    9536      531      9:56
   2276    9498      566      9:19
   2259    9449      732      7:12
   2255    9409      567      9:18
   2247    9377      465     11:21
   2252    9341      513     10:17
   2259    9295      656      8:02
   2253    9256      557      9:28
   2279    9232      499     10:34
   2249    9207      551      9:34
   2248    9167      564      9:21
   2238    9132      513     10:17
   2236    9095      523     10:05
   2238    9061      480     11:00
   2225    9025      540      9:46
   2213    8986      576      9:09
   2210    8950      509     10:22
   2201    8912      551      9:34
   2200    8877      494     10:41
   2206    8838      557      9:28
   2202    8798      567      9:18
   2173    8767      599      8:48
   2156    8733      536      9:51
   2145    8695      558      9:27
   2119    8665      560      9:25
   2096    8634      544      9:42
   2071    8601      584      9:02
   2054    8572      474     11:08
   2033    8534      612      8:37
   2006    8513      482     10:57
   1988    8486      458     11:31
   1958    8462      542      9:44
   1949    8425      537      9:49
   1924    8395      551      9:34
   1916    8351      631      8:22
   1902    8319      493     10:42
   1891    8275      640      8:15
   1899    8230      645      8:11
   1859    8185      849      6:13
   1848    8153      477     11:04
   1843    8108      639      8:15
   1846    8071      524     10:04
   1832    8039      493     10:42
   1814    8003      568      9:17
   1803    7972      464     11:22
   1774    7940      609      8:40
   1755    7904      574      9:11
   1731    7871      576      9:09
   1716    7841      473     11:09
   1685    7816      562      9:23
   1663    7776      644      8:11
   1630    7762      506     10:26
   1613    7731      499     10:34
   1584    7704      559      9:26
   1556    7674      579      9:07
   1532    7642      564      9:21
   1496    7618      610      8:39
   1486    7587      459     11:30
   1463    7559      511     10:19
   1452    7511      695      7:35
   1443    7477      496     10:38
   1417    7441      626      8:26
   1415    7403      537      9:49
   1414    7367      508     10:23
   1409    7333      485     10:53
   1397    7297      535      9:52
   1403    7256      584      9:02
   1395    7224      465     11:21
   1402    7191      476     11:05
   1387    7156      537      9:49
   1386    7110      649      8:08
   1394    7070      575      9:10
   1413    7039      513     10:17
   1445    7022      511     10:19
   1450    6988      485     10:53
   1460    6953      513     10:17
   1480    6901      786      6:43
   1457    6860      663      7:57
   1465    6821      562      9:23
   1491    6788      593      8:54
   1512    6757      528     10:00
   1519    6721      517     10:12
   1527    6684      534      9:53
   1518    6647      537      9:49
   1517    6613      480     11:00
   1504    6578      527     10:01
   1485    6542      574      9:11
   1448    6531      544      9:42
   1415    6533      466     11:19
   1376    6525      562      9:23
   1348    6501      520     10:09
   1305    6487      638      8:16
   1276    6472      460     11:28
   1241    6466      501     10:32
   1206    6452      532      9:55
   1171    6455      495     10:39
   1147    6424      553      9:32
   1110    6407      574      9:11
   1073    6393      558      9:27
   1038    6387      501     10:32
   1011    6353      612      8:37
    968    6350      608      8:41
    930    6319      692      7:37
    896    6321      480     11:00
    876    6294      474     11:08
    845    6279      486     10:51
    813    6268      477     11:04
    766    6274      668      7:54
    753    6240      513     10:17
    717    6234      515     10:15
    698    6182      781      6:45
    668    6153      589      8:57
    637    6126      580      9:06
    617    6090      581      9:05
    577    6075      603      8:45
    550    6038      646      8:10
    533    6003      549      9:37
    508    5973      551      9:34
    497    5937      531      9:56
    484    5901      540      9:46
    465    5865      574      9:11
    451    5827      571      9:14
    438    5792      527     10:01
    418    5759      544      9:42
    401    5731      462     11:25
    395    5696      501     10:32
    395    5660      508     10:23
    375    5621      618      8:32
    386    5587      504     10:28
    396    5552      513     10:17
    392    5519      469     11:15
    383    5485      496     10:38
    382    5439      649      8:08
    396    5402      558      9:27
    389    5366      517     10:12
    376    5336      461     11:27
    389    5289      688      7:40
    392    5251      538      9:48
    392    5213      536      9:51
    394    5177      509     10:22
    409    5147      473     11:09
    410    5102      635      8:18
    403    5067      503     10:29
    414    5029      558      9:27
    405    4995      496     10:38
    417    4955      589      8:57
    418    4914      578      9:08
    423    4880      485     10:53
    436    4847      500     10:33
    434    4812      494     10:41
    455    4779      552      9:33
    468    4741      566      9:19
    467    4706      494     10:41
    477    4674      473     11:09
    485    4631      617      8:33
    492    4593      545      9:41
    517    4563      551      9:34
    527    4531      473     11:09
    494    4498      658      8:01
    478    4468      480     11:00
    475    4432      509     10:22
    477    4391      579      9:07
    496    4352      612      8:37
    505    4313      565      9:20
    536    4291      536      9:51
    546    4253      554      9:31
    559    4216      553      9:32
    559    4170      649      8:08
    555    4135      497     10:37
    556    4101      480     11:00
    573    4057      665      7:56
    572    4021      508     10:23
    551    3987      564      9:21
    556    3947      569      9:16
    544    3916      469     11:15
    554    3878      554      9:31
    559    3841      527     10:01
    577    3795      697      7:34
    572    3757      541      9:45
    596    3726      553      9:32
    605    3693      482     10:57
    630    3667      509     10:22
    632    3626      579      9:07
    633    3583      607      8:41
    657    3560      469     11:15
    636    3521      625      8:26
    636    3484      522     10:06
    652    3451      517     10:12
    666    3420      480     11:00
    662    3370      708      7:27
    670    3336      493     10:42
    683    3292      647      8:09
    681    3254      537      9:49
    699    3218      568      9:17
    733    3190      621      8:30
    746    3158      487     10:50
    757    3122      531      9:56
    787    3100      525     10:03
    798    3052      695      7:35
    805    3019      476     11:05
    810    2986      471     11:12
    828    2954      518     10:11
    846    2922      518     10:11
    849    2883      552      9:33
    857    2840      617      8:33
    879    2806      571      9:14
    871    2764      603      8:45
    875    2714      708      7:27
    892    2678      562      9:23
    916    2648      542      9:44
    939    2623      479     11:01
    963    2590      576      9:09
    993    2554      661      7:59
   1022    2521      620      8:30
   1028    2484      529      9:58
   1044    2442      634      8:19
   1064    2409      544      9:42
   1071    2376      476     11:05
   1111    2366      582      9:04
   1117    2332      487     10:50
   1135    2292      619      8:31
   1146    2250      612      8:37
   1146    2213      522     10:06
   1148    2174      551      9:34
   1155    2133      587      8:59
   1143    2097      535      9:52
   1124    2067      501     10:32
   1145    2024      675      7:49
   1134    1985      572      9:13
   1157    1960      479     11:01
   1151    1924      515     10:15
   1161    1888      527     10:01
   1157    1834      764      6:54
   1145    1797      549      9:37
   1138    1762      503     10:29
   1158    1724      606      8:42
   1168    1679      650      8:07
   1120    1660      728      7:15
   1121    1619      578      9:08
   1101    1584      569      9:16
   1083    1554      493     10:42
   1083    1520      480     11:00
   1051    1499      540      9:46
   1027    1466      576      9:09
    998    1434      609      8:40
   1005    1401      476     11:05
    976    1371      589      8:57
    963    1319      756      6:59
    965    1282      523     10:05
    958    1244      545      9:41
    942    1210      530      9:57
    950    1171      562      9:23
    939    1139      477     11:04
    911    1107      600      8:48
    892    1081      454     11:37
    878    1050      480     11:00
    888    1013      541      9:45
    888     977      508     10:23
    872     945      505     10:27
    845     906      669      7:53
    804     887      637      8:17
    796     848      562      9:23
    775     815      552      9:33
    743     790      573      9:12
    725     746      671      7:52
    698     714      591      8:56
    670     682      600      8:48
    641     647      641      8:14
    639     614      466     11:19
    609     594      509     10:22
    587     558      595      8:52
    561     519      661      7:59
    537     489      542      9:44
    509     471      469     11:15
    497     438      495     10:39
    497     388      705      7:29
    461     370      568      9:17
    443     341      481     10:58
    426     302      600      8:48
    401     274      529      9:58
    390     242      477     11:04
    356     219      579      9:07
    306     169      998      5:17
    278     142      549      9:37
    262     112      480     11:00
    232      92      509     10:22
    190      86      598      8:49
    154      78      520     10:09
    121      52      593      8:54
     81      24      689      7:39
     50       0      553      9:32
-----------------------------------
FILTERED
  x-pos   y-pos   ft/min  min/mile
      0      19        0       N/A
     36      34      550      9:35
     69      52      530      9:57
    100      67      486     10:51
    135      90      591      8:56
    172     108      580      9:06
    207     131      591      8:56
    241     145      519     10:10
    268     167      491     10:45
    291     189      449     11:45
    304     224      527     10:01
    317     258      513     10:17
    329     296      562      9:23
    338     331      510     10:21
    350     367      535      9:52
    368     393      446     11:50
    391     423      533      9:54
    412     455      540      9:46
    431     493      599      8:48
    450     525      525     10:03
    465     559      524     10:04
    481     589      480     11:00
    495     625      545      9:41
    507     658      495     10:39
    517     694      527     10:01
    533     724      480     11:00
    560     752      549      9:37
    588     779      549      9:37
    614     808      549      9:37
    656     822      625      8:26
    692     842      581      9:05
    725     869      601      8:47
    738     909      593      8:54
    759     940      528     10:00
    782     968      511     10:19
    805     997      522     10:06
    818    1033      540      9:46
    834    1066      517     10:12
    841    1102      517     10:12
    856    1135      511     10:19
    870    1165      467     11:18
    889    1199      549      9:37
    903    1233      519     10:10
    914    1272      572      9:13
    929    1305      511     10:19
    945    1337      505     10:27
    967    1363      480     11:00
    990    1384      439     12:01
   1015    1405      460     11:28
   1044    1430      540      9:46
   1064    1462      532      9:55
   1083    1497      562      9:23
   1096    1533      540      9:46
   1101    1574      583      9:03
   1107    1614      571      9:14
   1109    1655      579      9:07
   1117    1690      506     10:26
   1124    1726      517     10:12
   1130    1763      529      9:58
   1136    1801      543      9:43
   1133    1836      495     10:39
   1133    1869      465     11:21
   1127    1904      501     10:32
   1130    1940      509     10:22
   1123    1981      587      8:59
   1122    2019      536      9:51
   1126    2053      483     10:55
   1130    2080      385     13:42
   1127    2111      439     12:01
   1107    2147      581      9:05
   1091    2187      608      8:41
   1076    2225      576      9:09
   1065    2262      544      9:42
   1053    2297      522     10:06
   1036    2333      562      9:23
   1015    2365      540      9:46
    996    2399      549      9:37
    980    2433      530      9:57
    966    2473      598      8:49
    943    2514      663      7:57
    921    2557      681      7:45
    903    2599      645      8:11
    894    2641      606      8:42
    880    2683      625      8:26
    865    2726      642      8:13
    849    2769      647      8:09
    841    2809      575      9:10
    828    2847      566      9:19
    813    2882      537      9:49
    799    2919      558      9:27
    783    2956      569      9:16
    766    2989      524     10:04
    747    3020      513     10:17
    732    3053      511     10:19
    717    3095      629      8:23
    707    3138      623      8:28
    700    3182      628      8:24
    695    3219      527     10:01
    681    3254      532      9:55
    667    3290      545      9:41
    656    3328      558      9:27
    647    3369      592      8:55
    638    3408      565      9:20
    626    3444      535      9:52
    626    3477      465     11:21
    621    3510      471     11:12
    625    3546      511     10:19
    615    3583      541      9:45
    613    3620      523     10:05
    601    3654      509     10:22
    596    3688      485     10:53
    593    3728      566      9:19
    591    3772      621      8:30
    591    3815      607      8:41
    578    3850      527     10:01
    581    3880      425     12:25
    580    3911      437     12:04
    583    3945      481     10:58
    585    3982      523     10:05
    591    4019      529      9:58
    600    4055      523     10:05
    591    4095      578      9:08
    576    4139      656      8:02
    556    4182      669      7:53
    545    4223      599      8:48
    532    4260      553      9:32
    521    4300      585      9:01
    512    4336      523     10:05
    505    4373      531      9:56
    495    4406      486     10:51
    486    4443      537      9:49
    478    4478      506     10:26
    475    4515      524     10:04
    466    4551      523     10:05
    454    4586      522     10:06
    445    4623      537      9:49
    435    4657      500     10:33
    431    4693      511     10:19
    417    4729      545      9:41
    410    4775      656      8:02
    402    4825      714      7:23
    397    4877      737      7:09
    393    4933      792      6:40
    389    4983      708      7:27
    394    5030      667      7:54
    392    5063      466     11:19
    390    5097      480     11:00
    387    5131      481     10:58
    388    5166      494     10:41
    392    5201      497     10:37
    387    5240      555      9:30
    382    5279      555      9:30
    379    5315      509     10:22
    382    5348      467     11:18
    390    5382      493     10:42
    400    5417      513     10:17
    404    5456      553      9:32
    403    5493      522     10:06
    394    5533      578      9:08
    389    5570      527     10:01
    393    5605      497     10:37
    404    5640      517     10:12
    415    5674      504     10:28
    430    5706      498     10:36
    448    5736      493     10:42
    461    5767      474     11:08
    465    5801      483     10:55
    474    5833      469     11:15
    488    5868      532      9:55
    503    5908      603      8:45
    509    5953      640      8:15
    514    5995      597      8:50
    528    6026      480     11:00
    548    6051      451     11:42
    572    6076      489     10:47
    584    6109      495     10:39
    597    6142      500     10:33
    610    6174      487     10:50
    636    6200      519     10:10
    665    6226      549      9:37
    699    6247      564      9:21
    733    6272      595      8:52
    766    6295      567      9:18
    798    6319      564      9:21
    831    6347      610      8:39
    860    6377      589      8:57
    888    6389      430     12:16
    907    6402      325     16:14
    930    6410      343     15:23
    958    6437      549      9:37
    996    6454      587      8:59
   1034    6467      566      9:19
   1073    6470      552      9:33
   1110    6469      522     10:06
   1147    6476      531      9:56
   1179    6488      482     10:57
   1212    6504      517     10:12
   1245    6510      473     11:09
   1281    6514      511     10:19
   1310    6525      437     12:04
   1341    6543      506     10:26
   1365    6572      531      9:56
   1392    6597      519     10:10
   1414    6625      502     10:31
   1442    6646      494     10:41
   1471    6668      513     10:17
   1492    6695      482     10:57
   1495    6725      425     12:25
   1482    6760      527     10:01
   1467    6796      550      9:35
   1459    6834      548      9:38
   1452    6875      587      8:59
   1442    6914      568      9:17
   1422    6952      606      8:42
   1400    6985      559      9:26
   1393    7016      448     11:47
   1404    7045      437     12:04
   1411    7069      352     15:00
   1418    7097      407     12:58
   1411    7128      448     11:47
   1414    7165      524     10:04
   1420    7197      459     11:30
   1436    7230      517     10:12
   1445    7260      442     11:56
   1447    7298      537      9:49
   1449    7335      523     10:05
   1455    7373      543      9:43
   1458    7407      481     10:58
   1463    7445      541      9:45
   1475    7488      630      8:22
   1482    7531      615      8:35
   1480    7575      621      8:30
   1476    7617      595      8:52
   1484    7657      575      9:10
   1502    7688      506     10:26
   1527    7719      562      9:23
   1549    7747      502     10:31
   1571    7780      559      9:26
   1588    7816      562      9:23
   1609    7850      564      9:21
   1628    7882      525     10:03
   1646    7913      506     10:26
   1668    7949      595      8:52
   1696    7976      549      9:37
   1732    8003      635      8:18
   1770    8026      627      8:25
   1803    8057      639      8:15
   1831    8086      569      9:16
   1840    8119      482     10:57
   1844    8154      497     10:37
   1843    8191      522     10:06
   1842    8228      522     10:06
   1840    8265      523     10:05
   1832    8301      520     10:09
   1825    8340      559      9:26
   1818    8383      615      8:35
   1822    8423      567      9:18
   1835    8458      527     10:01
   1861    8482      499     10:34
   1886    8508      509     10:22
   1906    8539      520     10:09
   1919    8575      540      9:46
   1935    8607      505     10:27
   1958    8638      544      9:42
   1980    8670      548      9:38
   1991    8707      544      9:42
   2004    8736      448     11:47
   2023    8763      466     11:19
   2046    8796      567      9:18
   2051    8833      527     10:01
   2054    8870      524     10:04
   2057    8907      524     10:04
   2094    8935      655      8:03
   2139    8951      674      7:50
   2193    8958      768      6:52
   2226    8975      524     10:04
   2243    9006      499     10:34
   2245    9047      579      9:07
   2248    9083      509     10:22
   2245    9118      495     10:39
   2253    9148      438     12:03
   2251    9179      438     12:03
   2261    9215      527     10:01
   2261    9261      649      8:08
   2276    9298      563      9:22
   2286    9331      486     10:51
   2295    9362      455     11:36
   2285    9404      609      8:40
   2278    9450      656      8:02
   2268    9488      554      9:31
   2270    9525      523     10:05
   2279    9554      428     12:20
   2282    9579      355     14:52
   2281    9604      353     14:57
   2282    9632      395     13:22
   2295    9666      513     10:17
   2310    9704      576      9:09
   2312    9746      593      8:54
   2313    9788      593      8:54
   2319    9824      515     10:15
   2329    9862      554      9:31
   2339    9898      527     10:01
   2348    9935      537      9:49
   2353    9970      499     10:34
   2358   10005      499     10:34
   2349   10057      745      7:05
   2350   10104      663      7:57
   2359   10146      606      8:42
   2382   10176      533      9:54
   2388   10210      487     10:50
   2386   10249      551      9:34
   2385   10285      508     10:23
   2392   10320      503     10:29
   2402   10355      513     10:17
   2410   10391      520     10:09
   2421   10428      544      9:42
   2432   10463      517     10:12
   2444   10496      495     10:39
   2458   10530      519     10:10
   2472   10562      493     10:42
   2484   10595      495     10:39
   2500   10626      492     10:43
   2515   10656      473     11:09
   2525   10692      527     10:01
   2527   10731      551      9:34
   2531   10770      553      9:32
   2534   10808      538      9:48
   2542   10846      548      9:38
   2547   10885      555      9:30
   2564   10920      549      9:37
   2589   10951      562      9:23
   2615   10984      593      8:54
   2634   11017      537      9:49
   2645   11052      517     10:12
   2654   11087      510     10:21
   2658   11124      525     10:03
   2663   11159      499     10:34
   2667   11193      483     10:55
   2677   11224      459     11:30
   2685   11256      465     11:21
   2690   11261       99     53:20
   2692   11246      213     24:47
   2689   11206      566      9:19
   2684   11169      527     10:01
   2672   11132      549      9:37
   2665   11097      503     10:29
   2655   11061      527     10:01
   2645   11023      554      9:31
   2629   10984      595      8:52
   2614   10945      589      8:57
   2599   10904      616      8:34
   2581   10870      543      9:43
   2558   10839      544      9:42
   2539   10811      477     11:04
   2528   10779      477     11:04
   2527   10743      508     10:23
   2516   10707      531      9:56
   2500   10675      505     10:27
   2483   10639      562      9:23
   2466   10606      524     10:04
   2457   10569      537      9:49
   2439   10531      593      8:54
   2430   10492      565      9:20
   2417   10450      620      8:30
   2408   10412      551      9:34
   2398   10373      568      9:17
   2390   10337      520     10:09
   2381   10303      496     10:38
   2372   10268      510     10:21
   2360   10235      495     10:39
   2351   10199      523     10:05
   2339   10163      535      9:52
   2325   10123      598      8:49
   2310   10084      589      8:57
   2297   10045      580      9:06
   2283   10008      558      9:27
   2265    9968      619      8:31
   2251    9928      598      8:49
   2237    9888      598      8:49
   2231    9850      543      9:43
   2223    9816      493     10:42
   2218    9781      499     10:34
   2218    9751      423     12:28
   2226    9719      465     11:21
   2238    9686      495     10:39
   2243    9649      527     10:01
   2248    9611      541      9:45
   2255    9573      545      9:41
   2265    9535      554      9:31
   2266    9494      578      9:08
   2263    9452      594      8:53
   2253    9411      595      8:52
   2251    9375      509     10:22
   2252    9337      536      9:51
   2254    9297      565      9:20
   2263    9261      523     10:05
   2260    9231      425     12:25
   2258    9202      410     12:52
   2245    9168      513     10:17
   2240    9131      527     10:01
   2237    9096      495     10:39
   2233    9060      511     10:19
   2225    9024      520     10:09
   2216    8987      537      9:49
   2208    8949      548      9:38
   2203    8913      513     10:17
   2202    8875      536      9:51
   2202    8837      536      9:51
   2193    8801      523     10:05
   2177    8766      543      9:43
   2158    8731      562      9:23
   2140    8697      543      9:43
   2120    8664      544      9:42
   2095    8633      562      9:23
   2073    8602      536      9:51
   2052    8569      552      9:33
   2031    8539      516     10:13
   2009    8511      502     10:31
   1984    8487      489     10:47
   1965    8457      501     10:32
   1943    8427      525     10:03
   1929    8390      558      9:27
   1914    8355      537      9:49
   1903    8315      585      9:01
   1897    8274      584      9:02
   1883    8230      651      8:06
   1868    8189      616      8:34
   1850    8148      632      8:21
   1845    8110      541      9:45
   1840    8072      541      9:45
   1830    8037      513     10:17
   1816    8004      506     10:26
   1797    7971      537      9:49
   1777    7938      544      9:42
